'12','03-09-2013 09:38:28','en',,'03-09-2013 09:38:28','03-09-2013 09:26:07','194.149.241.3','18','2','48','S04A4','2','0','0','0','1',,'CBT; and before this case-reports ("Fallvorstellungen")life with living in-patients with psychosomatic illness based on psychoanalytic concepts of underständing','A1','1','1','1','0','0','0',,'Psychodynamic Psychotherapy; outstanding way to cure patients, to heal them basically; but there some indications, where it will not work.','1','1','3','2','A1',,'CBT','3','3','0','3','1','supervision of team-working proceeds','A2','A3','A2','A2','A2','A2','1','3','NAD','D','SD','1','1','1','1','1','1','1','2','3','3','2','3','2','2','2','2','2','3',
'11','02-09-2013 22:19:30','en',,'02-09-2013 22:19:30','02-09-2013 22:08:27','188.100.218.254','18','1','30','S04A4','1','1','0','0','0',,'Conselin, Group Psychotherapy','A1','1','1','1','1','1','0',,,'1','1','1','1','A1',,'analytic, behavioural, semi-analytic','2','2','4','3','0',,'A2','A2','A2','A2','A2','A1','1','0','NAD','A','A','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','1','3','3','great survey'
'29',,'en',,'20-12-2013 13:25:38','20-12-2013 13:25:38','139.18.235.209',,,,,,'0','0','0','0',,,,,'0','0','0','0','0',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'30','20-12-2013 19:46:05','en',,'20-12-2013 19:46:05','20-12-2013 19:37:53','95.222.77.120','18','1','36','S04A4','2','1','0','0','0',,'CBT','A1','2','0','1','1','0','0',,,'1','2','1','2','A1',,'CBT','1','3','1','4','0',,'A2','A1','A2','A2','A2','A1','1','0','D','A','A','1','1','1','1','3','1','1','1','1','1','1','1','1','3','1','1','1','1',
'31','21-12-2013 09:08:24','en',,'21-12-2013 09:08:24','21-12-2013 08:59:55','79.251.69.245','18','1','32','S04A3','1','1','1','0','0',,'Schematherapie, Psychodrama','A1','1','0','0','0','0','0','Schematheerapie, Psychodrama, Hypnotherapie',,'3','2','1','1','A3',,'Verhaltenstherapie','0','0','2','1','0',,'A1','A3','A1','A2','A1','A1','1','30','SD','SD','SD','1','1','1','3','3','3','1','1','1','2','2','3','2','3','3','3','2','3',
'32',,'en',,'21-12-2013 09:45:36','21-12-2013 09:45:36','178.203.85.246',,,,,,'0','0','0','0',,,,,'0','0','0','0','0',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'33',,'en',,'23-12-2013 21:56:15','23-12-2013 21:45:39','194.149.241.3','18','2','34','S04A2','2','1','0','0','0',,'Training has not startet yet','A1','1','0','1','1','1','0',,,'1','3','1','3','A3',,'I don''t know','2','4','2','1','0',,'A2','A3','A3','A2','A2','A2','1','2','SD','D','NAD',,,,,,,,,,,,,,,,,,,
'34',,'en',,'27-12-2013 16:40:37','27-12-2013 16:40:37','194.149.241.3',,,,,,'0','0','0','0',,,,,'0','0','0','0','0',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'35',,'en',,'29-12-2013 10:08:12','29-12-2013 10:08:12','79.103.211.38',,,,,,'0','0','0','0',,,,,'0','0','0','0','0',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'36',,'en',,'30-12-2013 07:36:34','30-12-2013 07:36:08','194.149.241.3',,,,,,'0','0','0','0',,,,,'0','0','0','0','0',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'37','10-01-2014 12:13:56','en',,'10-01-2014 12:13:56','10-01-2014 12:05:03','194.149.241.3','18','2','45','S04A2','2','0','0','1','0',,,'A1','2','0','1','0','0','0',,,'3','2','2','2','A3',,'none','1','1','1','1','0',,'A3','A3','A2','A2','A3','A2','1','0','D','NAD','NAD','2','1','3','2','3','3','1','1',,'1','1','3','3','2','3','1','3','1',
'38','10-01-2014 14:24:14','en',,'10-01-2014 14:24:14','10-01-2014 14:12:22','137.248.254.180','18','1','41','S04A7','1','1','1','0','0',,'Psychodynamic Psychotherapy','A1','1','1','0','1','1','0',,'In Germany there is a special training in psychotherapy and PSYCHOSOMATICS. I think this is a very important specialization, it consists also of aspects of general medicine so that bodily and psychic aspects can be focused.','1','2','1','1','A1',,'Psychodynamic Psychotherapy','3','1','1','2','0',,'A1','A1','A2','A1','A2','A1','1','10','A','A','D','3','1','1','1','1','1','1','1','1','2','1','1','1','1','1','1','1','2','Please note that in Germany the conditions of becoming a specialist in "psychiatry and psychotherapy" are different from those of a specialist in "psychosomatic medicine and psychotherapy". The later qualification has more hours of treatment, supervision, theory and own psychotherapy.'
